2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AVAXUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ONUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ONUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ZECUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ZECUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BTCUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BTCUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LINKUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LINKUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XANUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XANUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for APRUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for APRUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for FORTHUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for FORTHUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for HEIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for HEIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ZORAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ZORAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for EVAAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for EVAAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for GUNUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for GUNUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AI16ZUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AI16ZUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BERAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BERAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PIPPINUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PIPPINUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for HYPEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for HYPEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for GRIFFAINUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for GRIFFAINUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BASUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BASUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for KAITOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for KAITOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BLESSUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BLESSUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SPXUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SPXUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for COAIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for COAIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BLUAIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BLUAIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for EPTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for EPTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XPINUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XPINUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ACXUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ACXUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for HUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for HUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SOLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SOLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for CARVUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for CARVUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XNYUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XNYUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LABUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LABUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for FLOWUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for FLOWUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BIOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BIOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for COWUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for COWUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for MINAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for MINAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for WIFUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for WIFUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XRPUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XRPUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PUMPBTCUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PUMPBTCUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PAXGUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PAXGUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ICPUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ICPUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for DEGENUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for DEGENUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for VIRTUALUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for VIRTUALUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for YBUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for YBUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for DOODUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for DOODUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PORTALUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PORTALUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for COOKIEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for COOKIEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SHELLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SHELLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TONUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TONUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ALPINEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ALPINEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LIGHTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LIGHTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SWARMSUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SWARMSUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ESPORTSUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ESPORTSUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for DEEPUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for DEEPUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BROCCOLIF3BUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BROCCOLIF3BUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for GOATUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for GOATUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AIXBTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AIXBTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for FUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for FUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ENSOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ENSOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BULLAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BULLAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for UBUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for UBUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ANIMEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ANIMEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for KGENUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for KGENUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TRUTHUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TRUTHUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for FHEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for FHEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ADAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ADAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AIOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AIOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BELUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BELUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LISTAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LISTAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for 币安人生USDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for 币安人生USDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ACTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ACTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BANKUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BANKUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TURTLEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TURTLEUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AVAAIUSDT, starting LSFP analysis...
